platform,juld,lat,lon,pressure,temperature,salinity,oxygen,nitrate,chlora
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,6.5,26.05299949645996,36.306766510009766,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,7.800000190734863,26.05299949645996,36.306766510009766,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,8.600000381469727,26.052000045776367,36.30778121948242,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,9.600000381469727,26.05299949645996,36.30677795410156,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,12.699999809265137,26.054000854492188,36.30779266357422,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,17.5,26.04400062561035,36.32377243041992,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,22.399999618530273,25.951000213623047,36.38079071044922,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,27.399999618530273,25.823999404907227,36.42879104614258,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,32.599998474121094,25.68000030517578,36.43779754638672,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,37.79999923706055,25.548999786376953,36.412803649902344,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,42.400001525878906,25.506000518798828,36.419795989990234,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,47.5,25.37700080871582,36.400794982910156,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,52.70000076293945,25.2450008392334,36.388790130615234,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,57.5,25.128999710083008,36.37178421020508,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,62.400001525878906,24.941999435424805,36.33877944946289,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,67.4000015258789,24.92099952697754,36.34278106689453,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,72.5,24.81599998474121,36.32776641845703,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,77.69999694824219,24.724000930786133,36.31377410888672,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,82.9000015258789,24.648000717163086,36.309757232666016,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,87.69999694824219,24.802000045776367,36.42580795288086,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,92.5,25.111000061035156,36.569847106933594,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,97.69999694824219,25.14900016784668,36.627845764160156,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,102.9000015258789,25.025999069213867,36.63386154174805,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,107.5999984741211,24.9689998626709,36.639854431152344,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,112.19999694824219,24.690000534057617,36.577842712402344,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,117.30000305175781,23.833999633789062,36.4157829284668,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,122.19999694824219,23.027999877929688,36.2917594909668,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,127.4000015258789,22.56399917602539,36.21773910522461,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,132.8000030517578,21.91200065612793,36.09769821166992,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,137.6999969482422,21.31999969482422,35.985679626464844,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,142.3000030517578,20.739999771118164,35.90165328979492,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,147.3000030517578,20.18000030517578,35.839630126953125,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,152.3000030517578,19.829999923706055,35.84062957763672,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,157.39999389648438,19.457000732421875,35.809608459472656,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,162.6999969482422,19.187999725341797,35.80260467529297,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,167.6999969482422,19.045000076293945,35.78761672973633,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,172.8000030517578,18.82200050354004,35.78462600708008,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,177.6999969482422,18.604000091552734,35.79460144042969,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,182.1999969482422,18.447999954223633,35.78760528564453,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,187.3000030517578,18.066999435424805,35.7455940246582,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,192.8000030517578,17.768999099731445,35.73460388183594,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,197.8000030517578,17.60700035095215,35.7296028137207,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,204.6999969482422,17.634000778198242,35.810611724853516,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,214.60000610351562,17.45199966430664,35.880615234375,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,224.8000030517578,17.18000030517578,35.89362335205078,,,
2902092 ,2013-02-24 03:26:00.000000000,19.08436,66.54972,235.0,16.98200035095215,35.9056282043457,,,
